iso_code,country_wb,population_density,health_expenditure_per_capita,health_expenditure_pct_gdp
NAC,North America,20.65124212109,11505.0803780518,16.955302601912
NAM,Namibia,3.41380072635402,449.95172119,10.19644737
NCL,New Caledonia,15.6025164113786,,
NER,Niger,19.3432857030078,35.39406204,5.81452751
NGA,Nigeria,239.939047179859,81.87322235,4.07625723
NIC,Nicaragua,55.2163952135616,204.21273804,9.54984856
NLD,Netherlands,520.731927531928,6718.88964844,11.13498974
NOR,Norway,14.8470090866665,9163.13867188,9.8142643
NPL,Nepal,205.61569584932,69.1880188,5.53498316
NRU,Nauru,585.45,1636.45788574,10.85399055
NZL,New Zealand,19.3103186358285,4749.04199219,9.55072403
OED,OECD members,38.8255337431259,5716.25796282394,13.3255717829231
OMN,Oman,14.5409499192246,843.01953125,4.34468651
OSS,Other small states,45.6204722862817,1150.97538567959,7.72901355543415
PAK,Pakistan,310.65509677252,42.79639816,2.99015832
PAN,Panama,58.5791992450795,1417.1541748,9.13571072
PER,Peru,25.9030328125,455.3560791,6.67309427
PHL,Philippines,379.317000368917,208.192276,5.97500563
PLW,Palau,38.6586956521739,1931.31152344,14.55276012
PNG,Papua New Guinea,22.1103564015369,61.02529907,2.33994722
POL,Poland,120.815285854296,1183.30236816,6.3654809
PRE,Pre-demographic dividend,50.4690763570164,64.8298965758647,4.48023690812362
PRI,Puerto Rico (US),367.836640360767,,
PRK,"Korea, Dem. People's Rep.",217.860094676522,,
PRT,Portugal,113.113510527741,2764.04296875,11.22031498
PRY,Paraguay,16.8240171155298,480.11322021,8.03277016
PSE,West Bank and Gaza,817.05377593361,364.4173584,10.4347353
PSS,Pacific island small states,40.9274045206547,265.263233002078,7.27624644630544
PST,Post-demographic dividend,35.823844767363,6913.69592372794,13.8015877871673
PYF,French Polynesia,80.6084701815039,,
QAT,Qatar,218.007832898172,1847.00231934,2.8927927
ROU,Romania,83.1104789638387,963.01287842,6.45246983
RUS,Russian Federation,8.83848757424343,881.74395752,7.0299139
RWA,Rwanda,541.35630320227,51.64677429,6.23147202
SAS,South Asia,488.431572059838,75.4653344021482,3.30046062379793
SAU,Saudi Arabia,14.320382473752,1654.74353027,5.93033648
SDN,Sudan,25.7317580299786,21.69141006,2.9669323
SEN,Senegal,89.4451098530099,71.12162781,4.44256258
SGP,Singapore,7595.49582172702,4050.81054688,5.14599705
SLB,Solomon Islands,27.2451232583065,98.80261993,4.94795895
SLE,Sierra Leone,112.144666112497,44.90049362,5.07244635
SLV,El Salvador,301.919980694981,470.14025879,10.12668991
SMR,San Marino,570.866666666667,4033.1027832,7.51272249
SOM,"Somalia, Fed. Rep.",27.5312127395033,15.01879692,2.73509169
SRB,Serbia,81.2739445831847,889.09753418,9.23441029
SSA,Sub-Saharan Africa (excluding high income),47.3061257586537,90.921044535094,5.17335513399429
SSD,South Sudan,17.1945943379805,34.78803635,6.30117083
SSF,Sub-Saharan Africa,50.1870490616922,84.359470788382,5.07287182325784
SST,Small states,26.6359353738561,964.438696145428,7.38388524979858
STP,Sao Tome and Principe,231.209375,187.06524658,7.85889721
SUR,Suriname,3.84963678669192,270.37786865,5.01704168
SVK,Slovak Republic,113.295486688852,1684.51550293,7.62857914
SVN,Slovenia,104.689964442502,2779.56591797,9.52724361
SWE,Sweden,25.5740792575133,6894.20166016,11.23013592
SWZ,Eswatini,70.1507558139535,297.72213745,7.40552139
SXM,Sint Maarten (Dutch part),1222.67647058824,,
SYC,Seychelles,215.778260869565,629.85974121,5.2088151
SYR,Syrian Arab Republic,117.784888090181,53.4726181,3.50403309
TCA,Turks and Caicos Islands,47.6242105263158,,
TCD,Chad,14.1584124841169,37.59156799,3.9722333
TEA,East Asia & Pacific (IDA & IBRD countries),132.37999364036,515.545559248001,5.15136897441315
TEC,Europe & Central Asia (IDA & IBRD countries),20.1477953165238,641.692030073061,6.44819921431963
TGO,Togo,163.235502849789,52.72237015,5.6165967
THA,Thailand,140.396821233534,363.72845459,5.15399981
TJK,Tajikistan,71.8128683622739,75.10315704,8.37504482
TKM,Turkmenistan,15.0917008916222,471.86325073,5.49196625
TLA,Latin America & the Caribbean (IDA & IBRD countries),31.8231317642983,672.712481297088,8.30442904249678
TLS,Timor-Leste,90.7961667787492,132.07870483,4.9192977
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",69.5921921684118,131.194717308625,4.8104799620377
TON,Tonga,146.513888888889,348.79745483,7.06254101
TSA,South Asia (IDA & IBRD),488.431572059838,75.4653344021483,3.30046062379793
TSS,Sub-Saharan Africa (IDA & IBRD countries),50.1870490616922,84.359470788382,5.07287182325784
TTO,Trinidad and Tobago,266.580506822612,1170.93859863,7.20521307
TUN,Tunisia,77.5529222451081,285.25247192,7.34183979
TUR,Turkiye,109.334768655068,431.33978271,4.56065559
TUV,Tuvalu,339.8,1122.39929199,18.57411194
TZA,Tanzania,70.9306976744186,37.53121185,3.46963334
UGA,Uganda,228.959355675244,51.03484726,5.47374916
UKR,Ukraine,76.4560579910252,369.90487671,8.2027483
URY,Uruguay,19.4074677179751,1594.98059082,8.91955471
USA,United States,36.3052926398919,12080.07324219,17.35207748
